nc6_threshold,nc10_threshold,uni6_threshold,uni10_threshold,accuracy
8,14,0.4,0.4,0.4590347923681257
8,14,0.35,0.4,0.4590347923681257
8,14,0.35,0.45,0.4590347923681257
8,16,0.4,0.55,0.45847362514029183
8,16,0.45,0.55,0.45847362514029183
8,16,0.35,0.55,0.45847362514029183
8,16,0.3,0.55,0.45847362514029183
8,12,0.35,0.55,0.45735129068462405
8,12,0.3,0.5,0.45735129068462405
8,12,0.35,0.5,0.45735129068462405
8,12,0.45,0.55,0.45735129068462405
8,12,0.45,0.5,0.45735129068462405
8,12,0.3,0.55,0.45735129068462405
8,12,0.4,0.5,0.45735129068462405
8,12,0.4,0.55,0.45735129068462405
7,24,0.3,0.6,0.4567901234567901
8,12,0.4,0.4,0.4567901234567901
7,24,0.3,0.45,0.4567901234567901
7,24,0.3,0.5,0.4567901234567901
7,24,0.3,0.55,0.4567901234567901
8,12,0.45,0.45,0.4567901234567901
8,12,0.4,0.45,0.4567901234567901
7,24,0.3,0.4,0.4567901234567901
8,12,0.3,0.45,0.4567901234567901
8,12,0.3,0.4,0.4567901234567901
8,12,0.35,0.45,0.4567901234567901
8,12,0.45,0.4,0.4567901234567901
8,12,0.35,0.4,0.4567901234567901
8,14,0.5,0.5,0.4567901234567901
8,14,0.5,0.6,0.4567901234567901
8,16,0.5,0.45,0.4562289562289562
8,16,0.5,0.4,0.4562289562289562
8,18,0.3,0.6,0.4562289562289562
8,16,0.5,0.5,0.4562289562289562
7,24,0.35,0.55,0.4562289562289562
7,24,0.35,0.5,0.4562289562289562
8,18,0.4,0.45,0.4562289562289562
8,18,0.4,0.5,0.4562289562289562
8,18,0.4,0.6,0.4562289562289562
8,18,0.45,0.4,0.4562289562289562
8,18,0.35,0.6,0.4562289562289562
8,18,0.35,0.5,0.4562289562289562
7,24,0.35,0.6,0.4562289562289562
8,18,0.4,0.4,0.4562289562289562
8,18,0.45,0.6,0.4562289562289562
8,16,0.5,0.6,0.4562289562289562
8,18,0.35,0.45,0.4562289562289562
8,18,0.35,0.4,0.4562289562289562
8,18,0.45,0.5,0.4562289562289562
8,12,0.5,0.6,0.4562289562289562
8,14,0.5,0.4,0.4562289562289562
8,18,0.45,0.45,0.4562289562289562
8,18,0.3,0.4,0.4562289562289562
8,18,0.3,0.5,0.4562289562289562
8,14,0.5,0.45,0.4562289562289562
8,14,0.5,0.55,0.4562289562289562
8,18,0.3,0.45,0.4562289562289562
7,24,0.35,0.45,0.4562289562289562
7,24,0.35,0.4,0.4562289562289562
8,16,0.5,0.55,0.4556677890011223
8,18,0.3,0.55,0.4556677890011223
8,18,0.45,0.55,0.4556677890011223
7,24,0.4,0.45,0.4556677890011223
7,24,0.4,0.5,0.4556677890011223
7,24,0.4,0.55,0.4556677890011223
7,24,0.4,0.6,0.4556677890011223
8,12,0.5,0.5,0.4556677890011223
7,24,0.4,0.4,0.4556677890011223
8,18,0.35,0.55,0.4556677890011223
8,18,0.4,0.55,0.4556677890011223
8,12,0.5,0.4,0.4551066217732884
8,12,0.5,0.55,0.4551066217732884
8,12,0.5,0.45,0.4551066217732884
7,24,0.45,0.4,0.45454545454545453
7,24,0.45,0.55,0.45454545454545453
7,24,0.45,0.6,0.45454545454545453
7,24,0.45,0.5,0.45454545454545453
7,24,0.45,0.45,0.45454545454545453
